sp_id,sp_name,genus
Aceiue-igae,Aceiueaiva igaei,Aceiueaiva
Noroaf-oxee,Noroafiiul oxee,Noroafiiul
Uxuaam-iuai,Uxuaamuu iuai,Uxuaamuu
Boriej-auui,Boriej auui,Boriej
Boriej-ueaw,Boriej ueawu,Boriej
Boriej-eide,Boriej eide,Boriej
Boriej-eau,Boriej eau,Boriej
Boriej-aee,Boriej aee,Boriej
Boriej-oai,Boriej oai,Boriej
Boriej-zaao,Boriej zaao,Boriej
Ocihiq-iia,Ocihiqaebo iia,Ocihiqaebo
Qipeok-orei,Qipeoki oreio,Qipeoki
Ajezoo-oba,Ajezooei oba,Ajezooei
Qogaoy-ueaw,Qogaoyel ueawu,Qogaoyel
Aiutiy-ito,Aiutiye ito,Aiutiye
Yuoaux-aeca,Yuoauxiwo aecaa,Yuoauxiwo
Yuoaux-eei,Yuoauxiwo eei,Yuoauxiwo
Eiuzo-iiaz,Eiuzo iiazi,Eiuzo
Fazua-gaoe,Fazua gaoe,Fazua
Fazua-iaoa,Fazua iaoai,Fazua
Fazua-eeaa,Fazua eeaaeg,Fazua
Fazua-eami,Fazua eamie,Fazua
Fazua-ueop,Fazua ueopue,Fazua
Fazua-aaik,Fazua aaik,Fazua
Ubukod-koee,Ubukodiu koeeqo,Ubukodiu
Weiuih-aleo,Weiuihemo aleoaz,Weiuihemo
Aqayel-eaia,Aqayeleeg eaia,Aqayeleeg
Kahiem-uuii,Kahiemeyaa uuii,Kahiemeyaa
Udilez-eao,Udilezua eao,Udilezua
Tinaog,Tinaogadi,Tinaogadi
Tinaog-bia,Tinaogadi bia,Tinaogadi
Utaten-afie,Utateneoz afiead,Utateneoz
Utaten-uiee,Utateneoz uieeuo,Utateneoz
Xooioq-uopi,Xooioqutaz uopi,Xooioqutaz
Ieanud-aeao,Ieanudei aeaoa,Ieanudei
Qusaer-ooow,Qusaeremu ooow,Qusaeremu
Qusaer-ioai,Qusaeremu ioaiio,Qusaeremu
Qusaer-eyiu,Qusaeremu eyiue,Qusaeremu
Avejii-ekeo,Avejiio ekeoe,Avejiio
Avejii-geo,Avejiio geo,Avejiio
Avejii-ujio,Avejiio ujiou,Avejiio
Avejii-aoot,Avejiio aoota,Avejiio
Heqiis-oua,Heqiisicu oua,Heqiisicu
Aoiwim,Aoiwimai,Aoiwimai
Aoiwim-euas,Aoiwimai euaseu,Aoiwimai
Aoiwim-eau,Aoiwimai eau,Aoiwimai
Aoiwim-yiu,Aoiwimai yiu,Aoiwimai
Aoiwim-iqaa,Aoiwimai iqaaib,Aoiwimai
Aoiwim-ayue,Aoiwimai ayueaa,Aoiwimai
Aoiwim-aoie,Aoiwimai aoie,Aoiwimai
Aoiwim-oogi,Aoiwimai oogio,Aoiwimai
Aoiwim-ioaz,Aoiwimai ioazi,Aoiwimai
Aoiwim-ure,Aoiwimai ure,Aoiwimai
Aoiwim-uimu,Aoiwimai uimuu,Aoiwimai
Iefuel,Iefuelik,Iefuelik
Iwosou,Iwosoueox,Iwosoueox
Iwosou-tiee,Iwosoueox tieed,Iwosoueox
Xezoas,Xezoasik,Xezoasik
Xezoas-geo,Xezoasik geo,Xezoasik
Xezoas-yoao,Xezoasik yoao,Xezoasik
Amomic-utou,Amomiciex utou,Amomiciex
Wunaea-ueao,Wunaeaan ueaou,Wunaeaan
Wunaea-iib,Wunaeaan iib,Wunaeaan
Wunaea-uuz,Wunaeaan uuz,Wunaeaan
Ukoguw-aoe,Ukoguw aoe,Ukoguw
Gacoez-otiu,Gacoezi otiu,Gacoezi
Epola-ieis,Epola ieis,Epola
Xuduuc-ieih,Xuduucoz ieihie,Xuduucoz
Edohok-uio,Edohokais uio,Edohokais
Uupoo-aeio,Uupoo aeioo,Uupoo
Idocik-iho,Idociki iho,Idociki
Caqoit-udu,Caqoitu udu,Caqoitu
Odolul-itu,Odoluloih itu,Odoluloih
Odolul-eal,Odoluloih eal,Odoluloih
Texaab,Texaabouuq,Texaabouuq
Texaab-oaab,Texaabouuq oaab,Texaabouuq
Texaab-eof,Texaabouuq eof,Texaabouuq
Texaab-xao,Texaabouuq xao,Texaabouuq
Texaab-geo,Texaabouuq geo,Texaabouuq
Texaab-eie,Texaabouuq eie,Texaabouuq
Texaab-enue,Texaabouuq enueeo,Texaabouuq
Texaab-xioa,Texaabouuq xioa,Texaabouuq
Texaab-oogi,Texaabouuq oogio,Texaabouuq
Texaab-euoi,Texaabouuq euoie,Texaabouuq
Texaab-otua,Texaabouuq otuaok,Texaabouuq
Texaab-exee,Texaabouuq exee,Texaabouuq
Evomac-ulu,Evomaciar ulu,Evomaciar
Veviuj,Veviujob,Veviujob
Veviuj-aae,Veviujob aae,Veviujob
Veviuj-iooq,Veviujob iooq,Veviujob
Veviuj-dei,Veviujob dei,Veviujob
Veviuj-ulua,Veviujob uluau,Veviujob
Veviuj-oqiu,Veviujob oqiuo,Veviujob
Veviuj-aaib,Veviujob aaiba,Veviujob
Veviuj-nuea,Veviujob nueax,Veviujob
Veviuj-ouk,Veviujob ouk,Veviujob
Veviuj-ooiy,Veviujob ooiyo,Veviujob
Axukum-eeof,Axukumuas eeofe,Axukumuas
Poleiq,Poleiqoy,Poleiqoy
Egeiuu,Egeiuu,Egeiuu
Egeiuu-oofe,Egeiuu oofeoo,Egeiuu
Egeiuu-oau,Egeiuu oau,Egeiuu
Egeiuu-ueqa,Egeiuu ueqa,Egeiuu
Egeiuu-ioi,Egeiuu ioi,Egeiuu
Huouok-eaor,Huouokul eaore,Huouokul
Aaamob-olu,Aaamobaoka olu,Aaamobaoka
Aaamob-aee,Aaamobaoka aee,Aaamobaoka
unk,Unknown,Unknown
